index,type,position,t_enter_SA1,t_enter_PW,t_enter_SA3,t_exit_system,t_SA1_basic,t_SA1_add,t_PW_basic,t_SA2_add,t_SA3_basic,t_SA3_add,total_time
0,PA1,PASSED,0.2,3.6,19.1,24.9,3.329192546583851,0.0,15.499999999999998,0.0,5.757331632152754,0.0,24.586524178736603
1,PA1,PASSED,0.4,3.8,19.3,25.1,3.329192546583851,0.0,15.499999999999998,0.0,5.764156039770629,0.0,24.593348586354477
2,PA2,PASSED,0.4,3.4,6.3,12.4,2.9130434782608696,0.0,2.826086956521739,0.0,6.027950310559007,0.0,11.767080745341616
3,PA1,PASSED,0.7,4.1,19.6,25.4,3.329192546583851,0.0,15.499999999999998,0.0,5.77361459062646,0.0,24.602807137210306
4,PA1,PASSED,0.9,4.3,19.8,25.6,3.329192546583851,0.0,15.499999999999998,0.0,5.785681856146509,0.0,24.614874402730358
5,PA2,PASSED,0.9,3.9,6.8,12.9,2.9130434782608696,0.0,2.826086956521739,0.0,6.027950310559007,0.0,11.767080745341616
6,PA1,PASSED,1.2,4.6,20.1,26.0,3.329192546583851,0.0,15.499999999999998,0.0,5.80034764612137,0.0,24.629540192705218
7,PA1,PASSED,1.4,4.8,20.3,26.2,3.329192546583851,0.0,15.499999999999998,0.0,5.817616250081656,0.0,24.646808796665503
8,PA2,PASSED,1.4,4.4,7.3,13.4,2.9130434782608696,0.0,2.826086956521739,0.0,6.027950310559007,0.0,11.767080745341616
9,PA1,PASSED,1.7,5.1,20.6,26.5,3.329192546583851,0.0,15.499999999999998,0.0,5.837505891348753,0.0,24.666698437932602
10,PA1,PASSED,1.9,5.3,20.8,26.7,3.329192546583851,0.0,15.499999999999998,0.0,5.860048370550327,0.0,24.689240917134175
11,PA2,PASSED,1.9,4.9,7.8,13.9,2.9130434782608696,0.0,2.826086956521739,0.0,6.027950310559007,0.0,11.767080745341616
12,PA1,PASSED,2.2,5.6,21.1,27.0,3.329192546583851,0.0,15.499999999999998,0.0,5.885288880817988,0.0,24.714481427401836
13,PA1,PASSED,2.4,5.8,21.3,27.3,3.329192546583851,0.0,15.499999999999998,0.0,5.913285981367036,0.0,24.742478527950883
14,PA2,PASSED,2.4,5.4,8.3,14.4,2.9130434782608696,0.0,2.8107115593584364,0.0,6.027950310559007,0.0,11.751705348178312
