index,type,position,t_enter_SA1,t_enter_PW,t_enter_SA3,t_exit_system,t_SA1_basic,t_SA1_add,t_PW_basic,t_SA2_add,t_SA3_basic,t_SA3_add,total_time
0,PA1,PASSED,0.1,3.5,19.0,24.8,3.329192546583851,0.0,15.499999999999998,0.0,5.76483001635887,0.0,24.59402256294272
1,PA1,PASSED,0.3,3.7,19.2,25.0,3.329192546583851,0.0,15.499999999999998,0.0,5.76483001635887,0.0,24.59402256294272
2,PA1,PASSED,0.5,3.9,19.4,25.2,3.329192546583851,0.0,15.499999999999998,0.0,5.757481672706928,0.0,24.586674219290774
3,PA1,PASSED,0.7,4.1,19.6,25.4,3.329192546583851,0.0,15.499999999999998,0.0,5.753169167447091,0.0,24.582361714030938
4,PA1,PASSED,0.9,4.3,19.8,25.6,3.329192546583851,0.0,15.499999999999998,0.0,5.751769440391113,0.0,24.580961986974962
5,PA2,PASSED,1.0,4.0,6.9,13.0,2.9130434782608696,0.0,2.826086956521739,0.0,6.027950310559007,0.0,11.767080745341616
6,PA1,PASSED,1.1,4.5,20.0,25.8,3.329192546583851,0.0,15.499999999999998,0.0,5.757331632152754,0.0,24.586524178736603
7,PA1,PASSED,1.3,4.7,20.2,26.0,3.329192546583851,0.0,15.499999999999998,0.0,5.757331632152754,0.0,24.586524178736603
8,PA1,PASSED,1.5,4.9,20.4,26.2,3.329192546583851,0.0,15.499999999999998,0.0,5.764156039770629,0.0,24.593348586354477
9,PA1,PASSED,1.7,5.1,20.6,26.4,3.329192546583851,0.0,15.499999999999998,0.0,5.77361459062646,0.0,24.602807137210306
10,PA1,PASSED,1.9,5.3,20.8,26.6,3.329192546583851,0.0,15.499999999999998,0.0,5.785681856146509,0.0,24.614874402730358
11,PA2,PASSED,2.0,5.0,7.9,14.0,2.9130434782608696,0.0,2.826086956521739,0.0,6.027950310559007,0.0,11.767080745341616
12,PA1,PASSED,2.1,5.5,21.0,26.9,3.329192546583851,0.0,15.499999999999998,0.0,5.817616250081656,0.0,24.646808796665503
13,PA1,PASSED,2.3,5.7,21.2,27.1,3.329192546583851,0.0,15.499999999999998,0.0,5.817616250081656,0.0,24.646808796665503
14,PA1,PASSED,2.5,5.9,21.4,27.3,3.329192546583851,0.0,15.499999999999998,0.0,5.837505891348753,0.0,24.666698437932602
15,PA1,PASSED,2.7,6.1,21.6,27.5,3.329192546583851,0.0,15.499999999999998,0.0,5.860048370550327,0.0,24.689240917134175
16,PA1,PASSED,2.9,6.3,21.8,27.7,3.329192546583851,0.0,15.499999999999998,0.0,5.885288880817988,0.0,24.714481427401836
17,PA2,PASSED,3.0,6.0,8.9,15.0,2.9130434782608696,0.0,2.826086956521739,0.0,6.027950310559007,0.0,11.767080745341616
18,PA1,PASSED,3.1,19.1,34.6,40.4,3.329192546583851,12.599999999999971,15.499999999999998,0.0,5.767080745341614,0.0,37.196273291925436
19,PA1,PASSED,3.3,19.3,34.8,40.6,3.329192546583851,12.599999999999971,15.499999999999998,0.0,5.76483001635887,0.0,37.19402256294269
20,PA1,PASSED,3.5,19.5,35.0,40.8,3.329192546583851,12.599999999999971,15.499999999999998,0.0,5.753169167447091,0.0,37.18236171403091
21,PA1,PASSED,3.7,19.7,35.2,41.0,3.329192546583851,12.599999999999971,15.499999999999998,0.0,5.753169167447091,0.0,37.18236171403091
22,PA1,PASSED,3.9,19.9,35.4,41.2,3.329192546583851,12.599999999999971,15.499999999999998,0.0,5.751769440391113,0.0,37.180961986974935
23,PA2,PASSED,4.0,7.0,9.9,16.0,2.9130434782608696,0.0,2.826086956521739,0.0,6.027950310559007,0.0,11.767080745341616
24,PA1,PASSED,4.1,20.1,35.6,41.4,3.329192546583851,12.599999999999971,15.499999999999998,0.0,5.753183035875205,0.0,37.182375582459024
25,PA1,PASSED,4.3,20.3,35.8,41.6,3.329192546583851,12.599999999999971,15.499999999999998,0.0,5.757331632152754,0.0,37.186524178736576
26,PA1,PASSED,4.5,20.5,36.0,41.8,3.329192546583851,12.599999999999971,15.499999999999998,0.0,5.77361459062646,0.0,37.20280713721028
27,PA1,PASSED,4.7,20.7,36.2,42.0,3.329192546583851,12.599999999999971,15.499999999999998,0.0,5.77361459062646,0.0,37.20280713721028
28,PA1,PASSED,4.9,20.9,36.4,42.2,3.329192546583851,12.599999999999971,15.499999999999998,0.0,5.785681856146509,0.0,37.21487440273033
29,PA2,PASSED,5.0,8.0,10.9,17.0,2.9130434782608696,0.0,2.826086956521739,0.0,6.027950310559007,0.0,11.767080745341616
30,PA1,PASSED,5.1,21.1,36.6,42.5,3.329192546583851,12.599999999999971,15.499999999999998,0.0,5.80034764612137,0.0,37.22954019270519
31,PA1,PASSED,5.3,21.3,36.8,42.7,3.329192546583851,12.599999999999971,15.499999999999998,0.0,5.817616250081656,0.0,37.246808796665476
32,PA1,PASSED,5.5,21.5,37.0,42.9,3.329192546583851,12.599999999999971,15.499999999999998,0.0,5.860048370550327,0.0,37.289240917134144
33,PA1,PASSED,5.7,21.7,37.2,43.1,3.329192546583851,12.599999999999971,15.499999999999998,0.0,5.860048370550327,0.0,37.289240917134144
34,PA1,PASSED,5.9,21.9,37.4,43.3,3.329192546583851,12.599999999999971,15.499999999999998,0.0,5.885288880817988,0.0,37.31448142740181
35,PA2,PASSED,6.0,9.0,11.9,18.0,2.9130434782608696,0.0,2.826086956521739,0.0,6.027950310559007,0.0,11.767080745341616
36,PA1,PASSED,6.1,34.7,50.2,56.0,3.329192546583851,25.200000000000088,15.499999999999998,0.0,5.767080745341614,0.0,49.79627329192555
37,PA1,PASSED,6.3,34.9,50.4,56.2,3.329192546583851,25.200000000000088,15.499999999999998,0.0,5.76483001635887,0.0,49.79402256294281
38,PA1,PASSED,6.5,35.1,50.6,56.4,3.329192546583851,25.200000000000088,15.499999999999998,0.0,5.757481672706928,0.0,49.78667421929086
39,PA1,PASSED,6.7,35.3,50.8,56.6,3.329192546583851,25.200000000000088,15.499999999999998,0.0,5.753169167447091,0.0,49.782361714031026
40,PA1,PASSED,6.9,35.5,51.0,56.8,3.329192546583851,25.200000000000088,15.499999999999998,0.0,5.753183035875205,0.0,49.78237558245914
41,PA2,PASSED,7.0,10.0,12.9,19.0,2.9130434782608696,0.0,2.826086956521739,0.0,6.027950310559007,0.0,11.767080745341616
