index,type,position,t_enter_SA1,t_enter_PW,t_enter_SA3,t_exit_system,t_SA1_basic,t_SA1_add,t_PW_basic,t_SA2_add,t_SA3_basic,t_SA3_add,total_time
0,PA1,PASSED,0.3,3.7,19.2,25.1,3.329192546583851,0.0,15.499999999999998,0.0,5.837505891348753,0.0,24.666698437932602
1,PA2,PASSED,0.3,3.3,6.2,12.3,2.9130434782608696,0.0,2.826086956521739,0.0,6.027950310559007,0.0,11.767080745341616
2,PA1,PASSED,0.6,4.0,19.5,25.4,3.329192546583851,0.0,15.499999999999998,0.0,5.860048370550327,0.0,24.689240917134175
3,PA2,PASSED,0.6,3.6,6.5,12.6,2.9130434782608696,0.0,2.826086956521739,0.0,6.027950310559007,0.0,11.767080745341616
4,PA1,PASSED,0.9,4.3,19.8,25.7,3.329192546583851,0.0,15.499999999999998,0.0,5.885288880817988,0.0,24.714481427401836
5,PA2,PASSED,0.9,3.9,6.8,12.9,2.9130434782608696,0.0,2.826086956521739,0.0,6.027950310559007,0.0,11.767080745341616
6,PA1,PASSED,1.3,4.7,20.2,26.2,3.329192546583851,0.0,15.499999999999998,0.0,5.913285981367036,0.0,24.742478527950883
7,PA2,PASSED,1.3,4.3,7.2,13.3,2.9130434782608696,0.0,2.826086956521739,0.0,6.027950310559007,0.0,11.767080745341616
8,PA1,PASSED,1.6,5.0,20.5,26.5,3.329192546583851,0.0,15.499999999999998,0.0,5.944111719909817,0.0,24.773304266493664
9,PA2,PASSED,1.6,4.6,7.5,13.6,2.9130434782608696,0.0,2.8107115593584364,0.0,6.027950310559007,0.0,11.751705348178312
10,PA1,PASSED,1.9,5.3,20.8,26.8,3.329192546583851,0.0,15.499999999999998,0.0,5.97785189753901,0.0,24.80704444412286
11,PA2,PASSED,1.9,4.9,7.8,13.9,2.9130434782608696,0.0,2.807838451016892,0.0,6.027950310559007,0.0,11.74883223983677
12,PA1,PASSED,2.3,5.7,21.2,27.3,3.329192546583851,0.0,15.499999999999998,0.0,6.014606472459914,0.0,24.84379901904376
13,PA2,PASSED,2.3,5.3,8.2,14.3,2.9130434782608696,0.0,2.820700016951719,0.0,6.027950310559007,0.0,11.761693805771596
14,PA1,PASSED,2.6,6.0,21.5,27.6,3.329192546583851,0.0,15.499999999999998,0.0,6.054490101346278,0.0,24.883682647930126
15,PA2,PASSED,2.6,5.6,8.5,14.6,2.9130434782608696,0.0,2.848623682449669,0.0,6.025440593583726,0.0,11.787107754294265
16,PA1,PASSED,2.9,6.3,21.8,27.9,3.329192546583851,0.0,15.499999999999998,0.0,6.097632819212057,0.0,24.926825365795906
17,PA2,PASSED,2.9,5.9,8.8,14.9,2.9130434782608696,0.0,2.8913690758422628,0.0,6.017246687100602,0.0,11.821659241203735
18,PA1,PASSED,3.3,6.7,22.2,28.4,3.329192546583851,0.0,15.499999999999998,0.0,6.144180860580524,0.0,24.97337340716437
19,PA2,PASSED,3.3,6.3,9.2,15.3,2.9130434782608696,0.0,2.8913690758422628,0.0,6.01243794835881,0.0,11.816850502461943
20,PA1,PASSED,3.6,7.0,22.5,28.7,3.329192546583851,0.0,15.499999999999998,0.0,6.194297626422116,0.0,25.023490173005964
21,PA2,PASSED,3.6,6.6,9.5,15.6,2.9130434782608696,0.0,2.8913690758422628,0.0,6.01087715681968,0.0,11.815289710922812
22,PA1,PASSED,3.9,7.3,22.8,29.1,3.329192546583851,0.0,15.499999999999998,0.0,6.248164802834523,0.0,25.07735734941837
23,PA2,PASSED,3.9,6.9,9.8,15.9,2.9130434782608696,0.0,2.8913690758422628,0.0,6.01245341260605,0.0,11.816865966709182
24,PA1,PASSED,4.3,7.7,23.2,29.6,3.329192546583851,0.0,15.499999999999998,0.0,6.30598363874442,0.0,25.13517618532827
25,PA2,PASSED,4.3,7.3,10.2,16.3,2.9130434782608696,0.0,2.8913690758422628,0.0,6.017079381605948,0.0,11.82149193570908
26,PA1,PASSED,4.6,8.0,23.5,29.9,3.329192546583851,0.0,15.499999999999998,0.0,6.367976390989625,0.0,25.197168937573473
27,PA2,PASSED,4.6,7.6,10.5,16.6,2.9130434782608696,0.0,2.8913690758422628,0.0,6.024689063525058,0.0,11.82910161762819
28,PA1,PASSED,4.9,8.3,23.8,30.3,3.329192546583851,0.0,15.499999999999998,0.0,6.434387945936557,0.0,25.263580492520404
29,PA2,PASSED,4.9,7.9,10.8,16.9,2.9130434782608696,0.0,2.8913690758422628,0.0,6.035235995575259,0.0,11.83964854967839
30,PA1,PASSED,5.3,19.3,34.8,40.7,3.329192546583851,10.599999999999978,15.499999999999998,0.0,5.860048370550327,0.0,35.28924091713415
31,PA2,PASSED,5.3,8.3,11.2,17.3,2.9130434782608696,0.0,2.8913690758422628,0.0,6.048691823155149,0.0,11.853104377258282
32,PA1,PASSED,5.6,19.6,35.1,41.0,3.329192546583851,10.599999999999978,15.499999999999998,0.0,5.885288880817988,0.0,35.314481427401816
33,PA2,PASSED,5.6,8.6,11.5,17.6,2.9130434782608696,0.0,2.8913690758422628,0.0,6.0650451834832815,0.0,11.869457737586414
34,PA1,PASSED,5.9,19.9,35.4,41.4,3.329192546583851,10.599999999999978,15.499999999999998,0.0,5.913285981367036,0.0,35.34247852795086
35,PA2,PASSED,5.9,8.9,11.8,17.9,2.9130434782608696,0.0,2.8913690758422628,0.0,6.084300859680093,0.0,11.888713413783226
36,PA1,PASSED,6.3,20.3,35.8,41.8,3.329192546583851,10.599999999999978,15.499999999999998,0.0,5.944111719909817,0.0,35.37330426649364
37,PA2,PASSED,6.3,9.3,12.2,18.4,2.9130434782608696,0.0,2.8913690758422628,0.0,6.106479171997104,0.0,11.910891726100235
38,PA1,PASSED,6.6,20.6,36.1,42.1,3.329192546583851,10.599999999999978,15.499999999999998,0.0,5.97785189753901,0.0,35.40704444412284
39,PA2,PASSED,6.6,9.6,12.5,18.7,2.9130434782608696,0.0,2.8913690758422628,0.0,6.106479171997104,0.0,11.910891726100235
40,PA1,PASSED,6.9,20.9,36.4,42.5,3.329192546583851,10.599999999999978,15.499999999999998,0.0,6.014606472459914,0.0,35.44379901904374
