T,D_SA1,D_PW1,D_PW2,D_SA3,D_pass,K_PW2,K_SA3,queue_PW1
0.0,0,0,0,0,0,0.0,0.0,0
0.1,1,0,0,0,0,0.0,0.0,0
0.2,1,0,0,0,0,0.0,0.0,0
0.3,2,0,0,0,0,0.0,0.0,0
0.4,2,0,0,0,0,0.0,0.0,0
0.5,3,0,0,0,0,0.0,0.0,0
0.6,3,0,0,0,0,0.0,0.0,0
0.7,4,0,0,0,0,0.0,0.0,0
0.8,4,0,0,0,0,0.0,0.0,0
0.9,5,0,0,0,0,0.0,0.0,0
1.0,6,0,0,0,0,0.0,0.0,0
1.1,7,0,0,0,0,0.0,0.0,0
1.2,7,0,0,0,0,0.0,0.0,0
1.3,8,0,0,0,0,0.0,0.0,0
1.4,8,0,0,0,0,0.0,0.0,0
1.5,9,0,0,0,0,0.0,0.0,0
1.6,9,0,0,0,0,0.0,0.0,0
1.7,10,0,0,0,0,0.0,0.0,0
1.8,10,0,0,0,0,0.0,0.0,0
1.9,11,0,0,0,0,0.0,0.0,0
2.0,12,0,0,0,0,0.0,0.0,0
2.1,13,0,0,0,0,0.0,0.0,0
2.2,13,0,0,0,0,0.0,0.0,0
2.3,14,0,0,0,0,0.0,0.0,0
2.4,14,0,0,0,0,0.0,0.0,0
2.5,15,0,0,0,0,0.0,0.0,0
2.6,15,0,0,0,0,0.0,0.0,0
2.7,16,0,0,0,0,0.0,0.0,0
2.8,16,0,0,0,0,0.0,0.0,0
2.9,17,0,0,0,0,0.0,0.0,0
3.0,18,0,0,0,0,0.0,0.0,0
3.1,19,0,0,0,0,0.0,0.0,0
3.2,19,0,0,0,0,0.0,0.0,0
3.3,20,0,0,0,0,0.0,0.0,0
3.4,20,0,0,0,0,0.0,0.0,0
3.5,20,1,0,0,0,0.0,0.0,0
3.6,20,1,0,0,0,0.0,0.0,0
3.7,20,2,0,0,0,0.0,0.0,0
3.8,20,2,0,0,0,0.0,0.0,0
3.9,20,3,0,0,0,0.0,0.0,0
4.0,20,3,1,0,0,0.09803921568627452,0.0,0
4.1,20,4,1,0,0,0.09803921568627452,0.0,0
4.2,20,4,1,0,0,0.09803921568627452,0.0,0
4.3,20,5,1,0,0,0.09803921568627452,0.0,0
4.4,20,5,1,0,0,0.09803921568627452,0.0,0
4.5,20,6,1,0,0,0.09803921568627452,0.0,0
4.6,20,6,1,0,0,0.09803921568627452,0.0,0
4.7,20,7,1,0,0,0.09803921568627452,0.0,0
4.8,20,7,1,0,0,0.09803921568627452,0.0,0
4.9,20,8,1,0,0,0.09803921568627452,0.0,0
5.0,20,8,2,0,0,0.19607843137254904,0.0,0
5.1,20,9,2,0,0,0.19607843137254904,0.0,0
5.2,20,9,2,0,0,0.19607843137254904,0.0,0
5.3,20,10,2,0,0,0.19607843137254904,0.0,0
5.4,20,10,2,0,0,0.19607843137254904,0.0,0
5.5,20,11,2,0,0,0.19607843137254904,0.0,0
5.6,20,11,2,0,0,0.19607843137254904,0.0,0
5.7,20,12,2,0,0,0.19607843137254904,0.0,0
5.8,20,12,2,0,0,0.19607843137254904,0.0,0
5.9,20,13,2,0,0,0.19607843137254904,0.0,0
6.0,20,13,3,0,0,0.29411764705882354,0.0,0
6.1,20,14,3,0,0,0.29411764705882354,0.0,0
6.2,20,14,3,0,0,0.29411764705882354,0.0,0
6.3,20,15,3,0,0,0.29411764705882354,0.0,0
6.4,20,15,3,0,0,0.29411764705882354,0.0,0
6.5,21,15,3,0,0,0.29411764705882354,0.0,1
6.6,21,15,3,0,0,0.29411764705882354,0.0,1
6.7,22,15,3,0,0,0.29411764705882354,0.0,2
6.8,22,15,3,0,0,0.29411764705882354,0.0,2
6.9,23,15,2,1,0,0.19607843137254904,0.04587155963302752,3
7.0,23,15,3,1,0,0.29411764705882354,0.04587155963302752,3
7.1,24,15,3,1,0,0.29411764705882354,0.04587155963302752,4
7.2,24,15,3,1,0,0.29411764705882354,0.04587155963302752,4
7.3,25,15,3,1,0,0.29411764705882354,0.04587155963302752,5
7.4,25,15,3,1,0,0.29411764705882354,0.04587155963302752,5
