T,D_SA1,D_PW1,D_PW2,D_SA3,D_pass,K_PW2,K_SA3,queue_PW1
0.0,0,0,0,0,0,0.0,0.0,0
0.1,0,0,0,0,0,0.0,0.0,0
0.2,1,0,0,0,0,0.0,0.0,0
0.3,1,0,0,0,0,0.0,0.0,0
0.4,3,0,0,0,0,0.0,0.0,0
0.5,3,0,0,0,0,0.0,0.0,0
0.6,3,0,0,0,0,0.0,0.0,0
0.7,4,0,0,0,0,0.0,0.0,0
0.8,4,0,0,0,0,0.0,0.0,0
0.9,6,0,0,0,0,0.0,0.0,0
1.0,6,0,0,0,0,0.0,0.0,0
1.1,6,0,0,0,0,0.0,0.0,0
1.2,7,0,0,0,0,0.0,0.0,0
1.3,7,0,0,0,0,0.0,0.0,0
1.4,9,0,0,0,0,0.0,0.0,0
1.5,9,0,0,0,0,0.0,0.0,0
1.6,9,0,0,0,0,0.0,0.0,0
1.7,10,0,0,0,0,0.0,0.0,0
1.8,10,0,0,0,0,0.0,0.0,0
1.9,12,0,0,0,0,0.0,0.0,0
2.0,12,0,0,0,0,0.0,0.0,0
2.1,12,0,0,0,0,0.0,0.0,0
2.2,13,0,0,0,0,0.0,0.0,0
2.3,13,0,0,0,0,0.0,0.0,0
2.4,15,0,0,0,0,0.0,0.0,0
2.5,15,0,0,0,0,0.0,0.0,0
2.6,15,0,0,0,0,0.0,0.0,0
2.7,16,0,0,0,0,0.0,0.0,0
2.8,16,0,0,0,0,0.0,0.0,0
2.9,18,0,0,0,0,0.0,0.0,0
3.0,18,0,0,0,0,0.0,0.0,0
3.1,18,0,0,0,0,0.0,0.0,0
3.2,18,0,1,0,0,0.09803921568627452,0.0,0
3.3,18,0,1,0,0,0.09803921568627452,0.0,0
3.4,19,0,2,0,0,0.19607843137254904,0.0,0
3.5,19,0,2,0,0,0.19607843137254904,0.0,0
3.6,19,0,2,0,0,0.19607843137254904,0.0,0
3.7,19,0,3,0,0,0.29411764705882354,0.0,0
3.8,18,1,3,0,0,0.29411764705882354,0.0,0
3.9,19,1,4,0,0,0.3921568627450981,0.0,0
4.0,19,1,4,0,0,0.3921568627450981,0.0,0
4.1,19,1,4,0,0,0.3921568627450981,0.0,0
4.2,19,1,5,0,0,0.4901960784313726,0.0,0
4.3,18,2,5,0,0,0.4901960784313726,0.0,0
4.4,19,2,6,0,0,0.5882352941176471,0.0,0
4.5,19,2,6,0,0,0.5882352941176471,0.0,0
4.6,19,2,6,0,0,0.5882352941176471,0.0,0
4.7,19,2,7,0,0,0.6862745098039216,0.0,0
4.8,18,3,7,0,0,0.6862745098039216,0.0,0
4.9,19,3,8,0,0,0.7843137254901962,0.0,0
5.0,19,3,8,0,0,0.7843137254901962,0.0,0
5.1,19,3,8,0,0,0.7843137254901962,0.0,0
5.2,19,3,9,0,0,0.8823529411764707,0.0,0
5.3,18,4,9,0,0,0.8823529411764707,0.0,0
5.4,19,4,10,0,0,0.9803921568627452,0.0,0
5.5,19,4,10,0,0,0.9803921568627452,0.0,0
5.6,19,4,10,0,0,0.9803921568627452,0.0,0
5.7,19,4,11,0,0,1.0784313725490198,0.0,0
5.8,18,5,11,0,0,1.0784313725490198,0.0,0
5.9,19,5,12,0,0,1.1764705882352942,0.0,0
6.0,19,5,12,0,0,1.1764705882352942,0.0,0
6.1,19,5,11,1,0,1.0784313725490198,0.04587155963302752,0
6.2,19,5,12,1,0,1.1764705882352942,0.04587155963302752,0
6.3,18,6,11,2,0,1.0784313725490198,0.09174311926605504,0
6.4,19,6,12,2,0,1.1764705882352942,0.09174311926605504,0
6.5,19,6,12,2,0,1.1764705882352942,0.09174311926605504,0
6.6,19,6,11,3,0,1.0784313725490198,0.13761467889908258,0
6.7,19,6,12,3,0,1.1764705882352942,0.13761467889908258,0
6.8,18,7,11,4,0,1.0784313725490198,0.18348623853211007,0
6.9,19,7,12,4,0,1.1764705882352942,0.18348623853211007,0
7.0,19,7,12,4,0,1.1764705882352942,0.18348623853211007,0
7.1,19,7,11,5,0,1.0784313725490198,0.2293577981651376,0
7.2,19,7,12,5,0,1.1764705882352942,0.2293577981651376,0
7.3,18,8,11,6,0,1.0784313725490198,0.27522935779816515,0
7.4,19,8,12,6,0,1.1764705882352942,0.27522935779816515,0
7.5,19,8,12,6,0,1.1764705882352942,0.27522935779816515,0
7.6,19,8,11,7,0,1.0784313725490198,0.3211009174311926,0
7.7,19,8,12,7,0,1.1764705882352942,0.3211009174311926,0
7.8,18,9,11,8,0,1.0784313725490198,0.36697247706422015,0
7.9,19,9,12,8,0,1.1764705882352942,0.36697247706422015,0
8.0,19,9,12,8,0,1.1764705882352942,0.36697247706422015,0
8.1,19,9,11,9,0,1.0784313725490198,0.4128440366972477,0
8.2,19,9,12,9,0,1.1764705882352942,0.4128440366972477,0
8.3,18,10,12,9,0,1.1764705882352942,0.4128440366972477,0
8.4,19,10,12,10,0,1.1764705882352942,0.4587155963302752,0
8.5,19,10,12,10,0,1.1764705882352942,0.4587155963302752,0
8.6,19,10,12,10,0,1.1764705882352942,0.4587155963302752,0
8.7,19,10,13,10,0,1.2745098039215688,0.4587155963302752,0
8.8,18,11,12,11,0,1.1764705882352942,0.5045871559633027,0
8.9,19,11,13,11,0,1.2745098039215688,0.5045871559633027,0
9.0,19,11,13,11,0,1.2745098039215688,0.5045871559633027,0
9.1,19,11,12,12,0,1.1764705882352942,0.5504587155963303,0
9.2,19,11,13,12,0,1.2745098039215688,0.5504587155963303,0
9.3,18,12,13,12,0,1.2745098039215688,0.5504587155963303,0
9.4,19,12,13,13,0,1.2745098039215688,0.5963302752293578,0
9.5,19,12,13,13,0,1.2745098039215688,0.5963302752293578,0
9.6,19,12,12,14,0,1.1764705882352942,0.6422018348623852,0
9.7,19,12,13,14,0,1.2745098039215688,0.6422018348623852,0
9.8,18,13,13,14,0,1.2745098039215688,0.6422018348623852,0
9.9,19,13,13,15,0,1.2745098039215688,0.6880733944954128,0
10.0,19,13,13,15,0,1.2745098039215688,0.6880733944954128,0
10.1,19,13,12,16,0,1.1764705882352942,0.7339449541284403,0
10.2,19,13,13,16,0,1.2745098039215688,0.7339449541284403,0
10.3,18,14,13,16,0,1.2745098039215688,0.7339449541284403,0
10.4,19,14,13,17,0,1.2745098039215688,0.7798165137614679,0
10.5,19,14,13,17,0,1.2745098039215688,0.7798165137614679,0
10.6,19,14,12,18,0,1.1764705882352942,0.8256880733944953,0
10.7,19,14,13,18,0,1.2745098039215688,0.8256880733944953,0
10.8,18,15,13,18,0,1.2745098039215688,0.8256880733944953,0
10.9,19,15,13,19,0,1.2745098039215688,0.8715596330275229,0
11.0,19,15,13,19,0,1.2745098039215688,0.8715596330275229,0
11.1,19,15,12,20,0,1.1764705882352942,0.9174311926605504,0
11.2,19,15,13,20,0,1.2745098039215688,0.9174311926605504,0
11.3,19,15,13,20,0,1.2745098039215688,0.9174311926605504,1
11.4,20,15,13,21,0,1.2745098039215688,0.963302752293578,1
11.5,20,15,13,21,0,1.2745098039215688,0.963302752293578,1
11.6,20,15,13,21,0,1.2745098039215688,0.963302752293578,1
11.7,20,15,13,22,0,1.2745098039215688,1.0091743119266054,1
11.8,20,15,13,22,0,1.2745098039215688,1.0091743119266054,2
11.9,21,15,14,22,0,1.3725490196078431,1.0091743119266054,2
12.0,21,15,13,23,0,1.2745098039215688,1.055045871559633,2
12.1,21,15,13,23,0,1.2745098039215688,1.055045871559633,2
12.2,21,15,13,23,1,1.2745098039215688,1.055045871559633,2
12.3,21,15,13,23,1,1.2745098039215688,1.055045871559633,3
12.4,22,15,14,22,2,1.3725490196078431,1.0091743119266054,3
12.5,22,15,13,23,2,1.2745098039215688,1.055045871559633,3
12.6,22,15,13,23,2,1.2745098039215688,1.055045871559633,3
12.7,22,15,14,22,3,1.3725490196078431,1.0091743119266054,3
12.8,22,15,13,23,3,1.2745098039215688,1.055045871559633,4
12.9,23,15,14,22,4,1.3725490196078431,1.0091743119266054,4
13.0,23,15,13,23,4,1.2745098039215688,1.055045871559633,4
13.1,23,15,13,23,4,1.2745098039215688,1.055045871559633,4
13.2,23,15,14,22,5,1.3725490196078431,1.0091743119266054,4
13.3,23,15,13,23,5,1.2745098039215688,1.055045871559633,5
13.4,24,15,14,22,6,1.3725490196078431,1.0091743119266054,5
13.5,24,15,13,23,6,1.2745098039215688,1.055045871559633,5
13.6,24,15,13,23,6,1.2745098039215688,1.055045871559633,5
13.7,24,15,14,22,7,1.3725490196078431,1.0091743119266054,5
13.8,24,15,13,23,7,1.2745098039215688,1.055045871559633,6
13.9,25,15,14,22,8,1.3725490196078431,1.0091743119266054,6
14.0,25,15,13,23,8,1.2745098039215688,1.055045871559633,6
14.1,25,15,13,23,8,1.2745098039215688,1.055045871559633,6
14.2,25,15,14,22,9,1.3725490196078431,1.0091743119266054,6
14.3,25,15,13,23,9,1.2745098039215688,1.055045871559633,7
14.4,26,15,14,23,9,1.3725490196078431,1.055045871559633,7
14.5,26,15,13,23,10,1.2745098039215688,1.055045871559633,7
14.6,26,15,13,23,10,1.2745098039215688,1.055045871559633,7
14.7,26,15,14,23,10,1.3725490196078431,1.055045871559633,7
14.8,26,15,13,24,10,1.2745098039215688,1.1009174311926606,8
14.9,27,15,14,23,11,1.3725490196078431,1.055045871559633,8
15.0,27,15,14,23,11,1.3725490196078431,1.055045871559633,8
