index,type,position,t_enter_SA1,t_enter_PW,t_enter_SA3,t_exit_system,t_SA1_basic,t_SA1_add,t_PW_basic,t_SA2_add,t_SA3_basic,t_SA3_add,total_time
0,PA2,PASSED,0.1,3.1,6.0,12.1,2.9130434782608696,0.0,2.826086956521739,0.0,6.027950310559007,0.0,11.767080745341616
1,PA2,PASSED,0.3,3.3,6.2,12.3,2.9130434782608696,0.0,2.826086956521739,0.0,6.027950310559007,0.0,11.767080745341616
2,PA2,PASSED,0.5,3.5,6.4,12.5,2.9130434782608696,0.0,2.826086956521739,0.0,6.027950310559007,0.0,11.767080745341616
3,PA2,PASSED,0.7,3.7,6.6,12.7,2.9130434782608696,0.0,2.826086956521739,0.0,6.027950310559007,0.0,11.767080745341616
4,PA2,PASSED,0.9,3.9,6.8,12.9,2.9130434782608696,0.0,2.8107115593584364,0.0,6.027950310559007,0.0,11.751705348178312
5,PA1,PASSED,1.0,4.4,19.9,26.1,3.329192546583851,0.0,15.499999999999998,0.0,6.144180860580524,0.0,24.97337340716437
6,PA2,PASSED,1.1,4.1,7.0,13.1,2.9130434782608696,0.0,2.807838451016892,0.0,6.027950310559007,0.0,11.74883223983677
7,PA2,PASSED,1.3,4.3,7.2,13.3,2.9130434782608696,0.0,2.820700016951719,0.0,6.027950310559007,0.0,11.761693805771596
8,PA2,PASSED,1.5,4.5,7.4,13.5,2.9130434782608696,0.0,2.848623682449669,0.0,6.025440593583726,0.0,11.787107754294265
9,PA2,PASSED,1.7,4.7,7.6,13.7,2.9130434782608696,0.0,2.8913690758422628,0.0,6.017246687100602,0.0,11.821659241203735
10,PA2,PASSED,1.9,4.9,7.9,14.0,2.9130434782608696,0.0,2.949076434479606,0.0,6.01243794835881,0.0,11.874557861099285
11,PA1,PASSED,2.0,5.4,20.9,27.1,3.329192546583851,0.0,15.499999999999998,0.0,6.144180860580524,0.0,24.97337340716437
12,PA2,PASSED,2.1,5.1,8.2,14.3,2.9130434782608696,0.0,3.0222411257771196,0.0,6.01087715681968,0.0,11.946161760857668
13,PA2,PASSED,2.3,5.3,8.5,14.6,2.9130434782608696,0.0,3.111708862692683,0.0,6.01245341260605,0.0,12.037205753559602
14,PA2,PASSED,2.5,5.5,8.8,14.9,2.9130434782608696,0.0,3.2186887218672475,0.0,6.017079381605948,0.0,12.148811581734066
15,PA2,PASSED,2.7,5.7,9.1,15.2,2.9130434782608696,0.0,3.344782817194601,0.0,6.024689063525058,0.0,12.282515358980529
16,PA2,PASSED,2.9,5.9,9.4,15.5,2.9130434782608696,0.0,3.4920327624169625,0.0,6.035235995575259,0.0,12.440312236253092
17,PA1,PASSED,3.0,6.4,21.9,28.0,3.329192546583851,0.0,15.499999999999998,0.0,6.097632819212057,0.0,24.926825365795906
18,PA2,PASSED,3.1,6.1,9.6,15.7,2.9130434782608696,0.0,3.4920327624169625,0.0,6.048691823155149,0.0,12.453768063832982
19,PA2,PASSED,3.3,6.3,9.8,15.9,2.9130434782608696,0.0,3.4920327624169625,0.0,6.0650451834832815,0.0,12.470121424161114
20,PA2,PASSED,3.5,6.5,10.0,16.1,2.9130434782608696,0.0,3.4920327624169625,0.0,6.084300859680093,0.0,12.489377100357926
21,PA2,PASSED,3.7,6.7,10.2,16.4,2.9130434782608696,0.0,3.4920327624169625,0.0,6.106479171997104,0.0,12.511555412674937
22,PA2,PASSED,3.9,6.9,10.4,16.6,2.9130434782608696,0.0,3.4920327624169625,0.0,6.131615580312284,0.0,12.536691820990116
23,PA1,PASSED,4.0,7.4,22.9,29.1,3.329192546583851,0.0,15.499999999999998,0.0,6.144180860580524,0.0,24.97337340716437
24,PA2,PASSED,4.1,7.1,10.6,16.8,2.9130434782608696,0.0,3.4920327624169625,0.0,6.159760478062799,0.0,12.564836718740631
25,PA2,PASSED,4.3,7.3,10.8,17.0,2.9130434782608696,0.0,3.4920327624169625,0.0,6.190979162784613,0.0,12.596055403462445
26,PA2,PASSED,4.5,7.5,11.0,17.3,2.9130434782608696,0.0,3.4920327624169625,0.0,6.225351972611769,0.0,12.630428213289601
27,PA2,PASSED,4.7,7.7,11.2,17.5,2.9130434782608696,0.0,3.4920327624169625,0.0,6.262974581639389,0.0,12.668050822317221
