T,D_SA1,D_PW1,D_PW2,D_SA3,D_pass,K_PW2,K_SA3,queue_PW1
0.0,0,0,0,0,0,0.0,0.0,0
0.1,0,0,0,0,0,0.0,0.0,0
0.2,0,0,0,0,0,0.0,0.0,0
0.3,2,0,0,0,0,0.0,0.0,0
0.4,2,0,0,0,0,0.0,0.0,0
0.5,2,0,0,0,0,0.0,0.0,0
0.6,4,0,0,0,0,0.0,0.0,0
0.7,4,0,0,0,0,0.0,0.0,0
0.8,4,0,0,0,0,0.0,0.0,0
0.9,6,0,0,0,0,0.0,0.0,0
1.0,6,0,0,0,0,0.0,0.0,0
1.1,6,0,0,0,0,0.0,0.0,0
1.2,6,0,0,0,0,0.0,0.0,0
1.3,8,0,0,0,0,0.0,0.0,0
1.4,8,0,0,0,0,0.0,0.0,0
1.5,8,0,0,0,0,0.0,0.0,0
1.6,10,0,0,0,0,0.0,0.0,0
1.7,10,0,0,0,0,0.0,0.0,0
1.8,10,0,0,0,0,0.0,0.0,0
1.9,12,0,0,0,0,0.0,0.0,0
2.0,12,0,0,0,0,0.0,0.0,0
2.1,12,0,0,0,0,0.0,0.0,0
2.2,12,0,0,0,0,0.0,0.0,0
2.3,14,0,0,0,0,0.0,0.0,0
2.4,14,0,0,0,0,0.0,0.0,0
2.5,14,0,0,0,0,0.0,0.0,0
2.6,16,0,0,0,0,0.0,0.0,0
2.7,16,0,0,0,0,0.0,0.0,0
2.8,16,0,0,0,0,0.0,0.0,0
2.9,18,0,0,0,0,0.0,0.0,0
3.0,18,0,0,0,0,0.0,0.0,0
3.1,18,0,0,0,0,0.0,0.0,0
3.2,18,0,0,0,0,0.0,0.0,0
3.3,19,0,1,0,0,0.09803921568627452,0.0,0
3.4,19,0,1,0,0,0.09803921568627452,0.0,0
3.5,19,0,1,0,0,0.09803921568627452,0.0,0
3.6,20,0,2,0,0,0.19607843137254904,0.0,0
3.7,19,1,2,0,0,0.19607843137254904,0.0,0
3.8,19,1,2,0,0,0.19607843137254904,0.0,0
3.9,20,1,3,0,0,0.29411764705882354,0.0,0
4.0,19,2,3,0,0,0.29411764705882354,0.0,0
4.1,19,2,3,0,0,0.29411764705882354,0.0,0
4.2,19,2,3,0,0,0.29411764705882354,0.0,0
4.3,19,3,4,0,0,0.3921568627450981,0.0,0
4.4,19,3,4,0,0,0.3921568627450981,0.0,0
4.5,19,3,4,0,0,0.3921568627450981,0.0,0
4.6,20,3,5,0,0,0.4901960784313726,0.0,0
4.7,19,4,5,0,0,0.4901960784313726,0.0,0
4.8,19,4,5,0,0,0.4901960784313726,0.0,0
4.9,20,4,6,0,0,0.5882352941176471,0.0,0
5.0,19,5,6,0,0,0.5882352941176471,0.0,0
5.1,19,5,6,0,0,0.5882352941176471,0.0,0
5.2,19,5,6,0,0,0.5882352941176471,0.0,0
5.3,19,6,7,0,0,0.6862745098039216,0.0,0
5.4,19,6,7,0,0,0.6862745098039216,0.0,0
5.5,19,6,7,0,0,0.6862745098039216,0.0,0
5.6,20,6,8,0,0,0.7843137254901962,0.0,0
5.7,19,7,8,0,0,0.7843137254901962,0.0,0
5.8,19,7,8,0,0,0.7843137254901962,0.0,0
5.9,20,7,9,0,0,0.8823529411764707,0.0,0
6.0,19,8,9,0,0,0.8823529411764707,0.0,0
6.1,19,8,9,0,0,0.8823529411764707,0.0,0
6.2,19,8,8,1,0,0.7843137254901962,0.04587155963302752,0
6.3,19,9,9,1,0,0.8823529411764707,0.04587155963302752,0
6.4,19,9,9,1,0,0.8823529411764707,0.04587155963302752,0
6.5,19,9,8,2,0,0.7843137254901962,0.09174311926605504,0
6.6,20,9,9,2,0,0.8823529411764707,0.09174311926605504,0
6.7,19,10,9,2,0,0.8823529411764707,0.09174311926605504,0
6.8,19,10,8,3,0,0.7843137254901962,0.13761467889908258,0
6.9,20,10,9,3,0,0.8823529411764707,0.13761467889908258,0
7.0,19,11,9,3,0,0.8823529411764707,0.13761467889908258,0
7.1,19,11,9,3,0,0.8823529411764707,0.13761467889908258,0
7.2,19,11,8,4,0,0.7843137254901962,0.18348623853211007,0
7.3,19,12,9,4,0,0.8823529411764707,0.18348623853211007,0
7.4,19,12,9,4,0,0.8823529411764707,0.18348623853211007,0
7.5,19,12,8,5,0,0.7843137254901962,0.2293577981651376,0
7.6,20,12,9,5,0,0.8823529411764707,0.2293577981651376,0
7.7,19,13,9,5,0,0.8823529411764707,0.2293577981651376,0
7.8,19,13,8,6,0,0.7843137254901962,0.27522935779816515,0
7.9,20,13,9,6,0,0.8823529411764707,0.27522935779816515,0
8.0,19,14,9,6,0,0.8823529411764707,0.27522935779816515,0
8.1,19,14,9,6,0,0.8823529411764707,0.27522935779816515,0
8.2,19,14,8,7,0,0.7843137254901962,0.3211009174311926,0
8.3,19,15,9,7,0,0.8823529411764707,0.3211009174311926,0
8.4,19,15,9,7,0,0.8823529411764707,0.3211009174311926,0
8.5,19,15,8,8,0,0.7843137254901962,0.36697247706422015,0
8.6,20,15,9,8,0,0.8823529411764707,0.36697247706422015,0
8.7,20,15,9,8,0,0.8823529411764707,0.36697247706422015,1
8.8,20,15,8,9,0,0.7843137254901962,0.4128440366972477,1
8.9,21,15,9,9,0,0.8823529411764707,0.4128440366972477,1
9.0,21,15,9,9,0,0.8823529411764707,0.4128440366972477,2
9.1,21,15,9,9,0,0.8823529411764707,0.4128440366972477,2
9.2,21,15,8,10,0,0.7843137254901962,0.4587155963302752,2
9.3,22,15,9,10,0,0.8823529411764707,0.4587155963302752,3
9.4,22,15,9,10,0,0.8823529411764707,0.4587155963302752,3
9.5,22,15,8,11,0,0.7843137254901962,0.5045871559633027,3
9.6,23,15,9,11,0,0.8823529411764707,0.5045871559633027,3
9.7,23,15,9,11,0,0.8823529411764707,0.5045871559633027,4
9.8,23,15,8,12,0,0.7843137254901962,0.5504587155963303,4
9.9,24,15,9,12,0,0.8823529411764707,0.5504587155963303,4
10.0,24,15,9,12,0,0.8823529411764707,0.5504587155963303,5
10.1,24,15,9,12,0,0.8823529411764707,0.5504587155963303,5
10.2,24,15,8,13,0,0.7843137254901962,0.5963302752293578,5
10.3,25,15,9,13,0,0.8823529411764707,0.5963302752293578,6
10.4,25,15,9,13,0,0.8823529411764707,0.5963302752293578,6
10.5,25,15,8,14,0,0.7843137254901962,0.6422018348623852,6
10.6,26,15,9,14,0,0.8823529411764707,0.6422018348623852,6
10.7,26,15,9,14,0,0.8823529411764707,0.6422018348623852,7
10.8,26,15,8,15,0,0.7843137254901962,0.6880733944954128,7
10.9,27,15,9,15,0,0.8823529411764707,0.6880733944954128,7
11.0,27,15,9,15,0,0.8823529411764707,0.6880733944954128,8
11.1,27,15,9,15,0,0.8823529411764707,0.6880733944954128,8
11.2,27,15,8,16,0,0.7843137254901962,0.7339449541284403,8
11.3,28,15,9,16,0,0.8823529411764707,0.7339449541284403,9
11.4,28,15,9,16,0,0.8823529411764707,0.7339449541284403,9
11.5,28,15,8,17,0,0.7843137254901962,0.7798165137614679,9
11.6,29,15,9,17,0,0.8823529411764707,0.7798165137614679,9
11.7,29,15,9,17,0,0.8823529411764707,0.7798165137614679,10
11.8,29,15,8,18,0,0.7843137254901962,0.8256880733944953,10
11.9,30,15,9,18,0,0.8823529411764707,0.8256880733944953,10
12.0,30,15,9,18,0,0.8823529411764707,0.8256880733944953,11
12.1,30,15,9,18,0,0.8823529411764707,0.8256880733944953,11
12.2,30,15,8,19,0,0.7843137254901962,0.8715596330275229,11
12.3,31,15,9,18,1,0.8823529411764707,0.8256880733944953,12
12.4,31,15,9,18,1,0.8823529411764707,0.8256880733944953,12
12.5,31,15,8,19,1,0.7843137254901962,0.8715596330275229,12
12.6,32,15,9,18,2,0.8823529411764707,0.8256880733944953,12
12.7,32,15,9,18,2,0.8823529411764707,0.8256880733944953,13
12.8,32,15,8,19,2,0.7843137254901962,0.8715596330275229,13
12.9,33,15,9,18,3,0.8823529411764707,0.8256880733944953,13
13.0,33,15,9,18,3,0.8823529411764707,0.8256880733944953,14
13.1,33,15,9,18,3,0.8823529411764707,0.8256880733944953,14
13.2,33,15,8,19,3,0.7843137254901962,0.8715596330275229,14
13.3,34,15,9,18,4,0.8823529411764707,0.8256880733944953,15
13.4,34,15,9,18,4,0.8823529411764707,0.8256880733944953,15
13.5,34,15,8,19,4,0.7843137254901962,0.8715596330275229,15
13.6,35,15,9,18,5,0.8823529411764707,0.8256880733944953,15
13.7,35,15,9,18,5,0.8823529411764707,0.8256880733944953,16
13.8,35,15,8,19,5,0.7843137254901962,0.8715596330275229,16
13.9,36,15,9,18,6,0.8823529411764707,0.8256880733944953,16
14.0,36,15,9,18,6,0.8823529411764707,0.8256880733944953,17
14.1,36,15,9,18,6,0.8823529411764707,0.8256880733944953,17
14.2,36,15,8,19,6,0.7843137254901962,0.8715596330275229,17
14.3,37,15,9,18,7,0.8823529411764707,0.8256880733944953,18
14.4,37,15,9,18,7,0.8823529411764707,0.8256880733944953,18
14.5,37,15,8,19,7,0.7843137254901962,0.8715596330275229,18
14.6,38,15,9,18,8,0.8823529411764707,0.8256880733944953,18
14.7,38,15,9,18,8,0.8823529411764707,0.8256880733944953,19
14.8,38,15,8,19,8,0.7843137254901962,0.8715596330275229,19
14.9,39,15,9,18,9,0.8823529411764707,0.8256880733944953,19
15.0,39,15,9,18,9,0.8823529411764707,0.8256880733944953,20
