T,D_SA1,D_PW1,D_PW2,D_SA3,D_pass,K_PW2,K_SA3,queue_PW1
0.0,0,0,0,0,0,0.0,0.0,0
0.1,1,0,0,0,0,0.0,0.0,0
0.2,1,0,0,0,0,0.0,0.0,0
0.3,2,0,0,0,0,0.0,0.0,0
0.4,2,0,0,0,0,0.0,0.0,0
0.5,3,0,0,0,0,0.0,0.0,0
0.6,3,0,0,0,0,0.0,0.0,0
0.7,4,0,0,0,0,0.0,0.0,0
0.8,4,0,0,0,0,0.0,0.0,0
0.9,5,0,0,0,0,0.0,0.0,0
1.0,6,0,0,0,0,0.0,0.0,0
1.1,7,0,0,0,0,0.0,0.0,0
1.2,7,0,0,0,0,0.0,0.0,0
1.3,8,0,0,0,0,0.0,0.0,0
1.4,8,0,0,0,0,0.0,0.0,0
1.5,9,0,0,0,0,0.0,0.0,0
1.6,9,0,0,0,0,0.0,0.0,0
1.7,10,0,0,0,0,0.0,0.0,0
1.8,10,0,0,0,0,0.0,0.0,0
1.9,11,0,0,0,0,0.0,0.0,0
2.0,12,0,0,0,0,0.0,0.0,0
2.1,13,0,0,0,0,0.0,0.0,0
2.2,13,0,0,0,0,0.0,0.0,0
2.3,14,0,0,0,0,0.0,0.0,0
2.4,14,0,0,0,0,0.0,0.0,0
2.5,15,0,0,0,0,0.0,0.0,0
2.6,15,0,0,0,0,0.0,0.0,0
2.7,16,0,0,0,0,0.0,0.0,0
2.8,16,0,0,0,0,0.0,0.0,0
2.9,17,0,0,0,0,0.0,0.0,0
3.0,18,0,0,0,0,0.0,0.0,0
3.1,18,0,1,0,0,0.09803921568627452,0.0,0
3.2,18,0,1,0,0,0.09803921568627452,0.0,0
3.3,18,0,2,0,0,0.19607843137254904,0.0,0
3.4,18,0,2,0,0,0.19607843137254904,0.0,0
3.5,18,0,3,0,0,0.29411764705882354,0.0,0
3.6,18,0,3,0,0,0.29411764705882354,0.0,0
3.7,18,0,4,0,0,0.3921568627450981,0.0,0
3.8,18,0,4,0,0,0.3921568627450981,0.0,0
3.9,18,0,5,0,0,0.4901960784313726,0.0,0
4.0,19,0,5,0,0,0.4901960784313726,0.0,0
4.1,19,0,6,0,0,0.5882352941176471,0.0,0
4.2,19,0,6,0,0,0.5882352941176471,0.0,0
4.3,19,0,7,0,0,0.6862745098039216,0.0,0
4.4,18,1,7,0,0,0.6862745098039216,0.0,0
4.5,18,1,8,0,0,0.7843137254901962,0.0,0
4.6,18,1,8,0,0,0.7843137254901962,0.0,0
4.7,18,1,9,0,0,0.8823529411764707,0.0,0
4.8,18,1,9,0,0,0.8823529411764707,0.0,0
4.9,18,1,10,0,0,0.9803921568627452,0.0,0
5.0,19,1,10,0,0,0.9803921568627452,0.0,0
5.1,19,1,11,0,0,1.0784313725490198,0.0,0
5.2,19,1,11,0,0,1.0784313725490198,0.0,0
5.3,19,1,12,0,0,1.1764705882352942,0.0,0
5.4,18,2,12,0,0,1.1764705882352942,0.0,0
5.5,18,2,13,0,0,1.2745098039215688,0.0,0
5.6,18,2,13,0,0,1.2745098039215688,0.0,0
5.7,18,2,14,0,0,1.3725490196078431,0.0,0
5.8,18,2,14,0,0,1.3725490196078431,0.0,0
5.9,18,2,15,0,0,1.4705882352941178,0.0,0
6.0,19,2,14,1,0,1.3725490196078431,0.04587155963302752,0
6.1,19,2,15,1,0,1.4705882352941178,0.04587155963302752,0
6.2,19,2,14,2,0,1.3725490196078431,0.09174311926605504,0
6.3,19,2,15,2,0,1.4705882352941178,0.09174311926605504,0
6.4,18,3,14,3,0,1.3725490196078431,0.13761467889908258,0
6.5,18,3,15,3,0,1.4705882352941178,0.13761467889908258,0
6.6,18,3,14,4,0,1.3725490196078431,0.18348623853211007,0
6.7,18,3,15,4,0,1.4705882352941178,0.18348623853211007,0
6.8,18,3,14,5,0,1.3725490196078431,0.2293577981651376,0
6.9,18,3,15,5,0,1.4705882352941178,0.2293577981651376,0
7.0,19,3,14,6,0,1.3725490196078431,0.27522935779816515,0
7.1,19,3,15,6,0,1.4705882352941178,0.27522935779816515,0
