index,type,position,t_enter_SA1,t_enter_SA2,t_enter_SA3,t_exit_system,t_SA1_basic,t_PW_basic,t_SA3_basic,t_SA1_add,t_SA2_add,t_SA3_add,total_time
0,PA1,PASSED,0.2,3.600000000000002,19.1,24.900000000000084,3.329192546583851,15.499999999999998,5.757331632152754,0.0,0.0,0.0,24.586524178736603
1,PA1,PASSED,0.4,3.800000000000002,19.300000000000004,25.100000000000087,3.329192546583851,15.499999999999998,5.764156039770629,0.0,0.0,0.0,24.593348586354477
2,PA2,PASSED,0.4,3.4000000000000017,6.299999999999994,12.399999999999972,2.9130434782608696,2.826086956521739,6.027950310559007,0.0,0.0,0.0,11.767080745341616
3,PA1,PASSED,0.7,4.100000000000001,19.60000000000001,25.40000000000009,3.329192546583851,15.499999999999998,5.77361459062646,0.0,0.0,0.0,24.602807137210306
4,PA1,PASSED,0.8999999999999999,4.300000000000001,19.80000000000001,25.600000000000094,3.329192546583851,15.499999999999998,5.785681856146509,0.0,0.0,0.0,24.614874402730358
5,PA2,PASSED,0.8999999999999999,3.900000000000002,6.799999999999992,12.89999999999997,2.9130434782608696,2.826086956521739,6.027950310559007,0.0,0.0,0.0,11.767080745341616
6,PA1,PASSED,1.2,4.6,20.100000000000016,26.0000000000001,3.329192546583851,15.499999999999998,5.80034764612137,0.0,0.0,0.0,24.629540192705218
7,PA1,PASSED,1.4000000000000001,4.799999999999999,20.30000000000002,26.200000000000102,3.329192546583851,15.499999999999998,5.817616250081656,0.0,0.0,0.0,24.646808796665503
8,PA2,PASSED,1.4000000000000001,4.4,7.29999999999999,13.399999999999968,2.9130434782608696,2.826086956521739,6.027950310559007,0.0,0.0,0.0,11.767080745341616
9,PA1,PASSED,1.7000000000000004,5.099999999999998,20.600000000000023,26.500000000000107,3.329192546583851,15.499999999999998,5.837505891348753,0.0,0.0,0.0,24.666698437932602
10,PA1,PASSED,1.9000000000000006,5.299999999999997,20.800000000000026,26.70000000000011,3.329192546583851,15.499999999999998,5.860048370550327,0.0,0.0,0.0,24.689240917134175
11,PA2,PASSED,1.9000000000000006,4.899999999999999,7.799999999999988,13.899999999999967,2.9130434782608696,2.826086956521739,6.027950310559007,0.0,0.0,0.0,11.767080745341616
12,PA1,PASSED,2.2000000000000006,5.599999999999996,21.10000000000003,27.000000000000114,3.329192546583851,15.499999999999998,5.885288880817988,0.0,0.0,0.0,24.714481427401836
13,PA1,PASSED,2.400000000000001,5.799999999999995,21.300000000000033,27.300000000000118,3.329192546583851,15.499999999999998,5.913285981367036,0.0,0.0,0.0,24.742478527950883
14,PA2,PASSED,2.400000000000001,5.399999999999997,8.299999999999986,14.399999999999965,2.9130434782608696,2.8107115593584364,6.027950310559007,0.0,0.0,0.0,11.751705348178312
15,PA1,PASSED,2.700000000000001,6.099999999999994,21.600000000000037,27.600000000000122,3.329192546583851,15.499999999999998,5.944111719909817,0.0,0.0,0.0,24.773304266493664
16,PA1,PASSED,2.9000000000000012,6.299999999999994,21.80000000000004,27.800000000000125,3.329192546583851,15.499999999999998,5.97785189753901,0.0,0.0,0.0,24.80704444412286
17,PA2,PASSED,2.9000000000000012,5.899999999999995,8.799999999999985,14.899999999999963,2.9130434782608696,2.807838451016892,6.027950310559007,0.0,0.0,0.0,11.74883223983677
18,PA1,PASSED,3.2000000000000015,6.5999999999999925,22.100000000000044,28.20000000000013,3.329192546583851,15.499999999999998,6.014606472459914,0.0,0.0,0.0,24.84379901904376
19,PA1,PASSED,3.4000000000000017,6.799999999999992,22.300000000000047,28.400000000000134,3.329192546583851,15.499999999999998,6.054490101346278,0.0,0.0,0.0,24.883682647930126
20,PA2,PASSED,3.4000000000000017,6.399999999999993,9.299999999999983,15.399999999999961,2.9130434782608696,2.807838451016892,6.027950310559007,0.0,0.0,0.0,11.74883223983677
21,PA1,PASSED,3.700000000000002,7.099999999999991,22.60000000000005,28.700000000000138,3.329192546583851,15.499999999999998,6.097632819212057,0.0,0.0,0.0,24.926825365795906
22,PA1,PASSED,3.900000000000002,7.29999999999999,22.800000000000054,29.000000000000142,3.329192546583851,15.499999999999998,6.144180860580524,0.0,0.0,0.0,24.97337340716437
23,PA2,PASSED,3.900000000000002,6.8999999999999915,9.799999999999981,15.89999999999996,2.9130434782608696,2.807838451016892,6.025440593583726,0.0,0.0,0.0,11.746322522861487
24,PA1,PASSED,4.200000000000001,7.599999999999989,23.10000000000006,29.300000000000146,3.329192546583851,15.499999999999998,6.194297626422116,0.0,0.0,0.0,25.023490173005964
25,PA1,PASSED,4.4,7.799999999999988,23.30000000000006,29.60000000000015,3.329192546583851,15.499999999999998,6.248164802834523,0.0,0.0,0.0,25.07735734941837
26,PA2,PASSED,4.4,7.39999999999999,10.29999999999998,16.399999999999963,2.9130434782608696,2.807838451016892,6.017246687100602,0.0,0.0,0.0,11.738128616378365
27,PA1,PASSED,4.699999999999999,8.099999999999987,23.600000000000065,30.000000000000156,3.329192546583851,15.499999999999998,6.30598363874442,0.0,0.0,0.0,25.13517618532827
28,PA1,PASSED,4.899999999999999,8.299999999999986,23.800000000000068,30.20000000000016,3.329192546583851,15.499999999999998,6.367976390989625,0.0,0.0,0.0,25.197168937573473
29,PA2,PASSED,4.899999999999999,7.899999999999988,10.799999999999978,16.89999999999997,2.9130434782608696,2.807838451016892,6.01243794835881,0.0,0.0,0.0,11.733319877636571
30,PA1,PASSED,5.1999999999999975,8.599999999999985,24.100000000000072,30.600000000000165,3.329192546583851,15.499999999999998,6.434387945936557,0.0,0.0,0.0,25.263580492520404
31,PA1,PASSED,5.399999999999997,8.799999999999985,24.300000000000075,30.90000000000017,3.329192546583851,15.499999999999998,6.505487627210989,0.0,0.0,0.0,25.334680173794837
32,PA2,PASSED,5.399999999999997,8.399999999999986,11.299999999999976,17.399999999999977,2.9130434782608696,2.807838451016892,6.01087715681968,0.0,0.0,0.0,11.73175908609744
33,PA1,PASSED,5.699999999999996,9.099999999999984,24.60000000000008,31.200000000000173,3.329192546583851,15.499999999999998,6.581571199039004,0.0,0.0,0.0,25.41076374562285
34,PA1,PASSED,5.899999999999995,9.299999999999983,24.800000000000082,31.500000000000178,3.329192546583851,15.499999999999998,6.662963073923846,0.0,0.0,0.0,25.492155620507695
35,PA2,PASSED,5.899999999999995,8.899999999999984,11.799999999999974,17.899999999999984,2.9130434782608696,2.807838451016892,6.01245341260605,0.0,0.0,0.0,11.733335341883812
36,PA1,PASSED,6.199999999999994,9.599999999999982,25.100000000000087,31.800000000000182,3.329192546583851,15.499999999999998,6.662963073923846,0.0,0.0,0.0,25.492155620507695
37,PA1,PASSED,6.399999999999993,9.799999999999981,25.30000000000009,32.000000000000185,3.329192546583851,15.499999999999998,6.662963073923846,0.0,0.0,0.0,25.492155620507695
38,PA2,PASSED,6.399999999999993,9.399999999999983,12.299999999999972,18.39999999999999,2.9130434782608696,2.807838451016892,6.017079381605948,0.0,0.0,0.0,11.737961310883708
39,PA1,PASSED,6.699999999999992,10.09999999999998,25.600000000000094,32.30000000000019,3.329192546583851,15.499999999999998,6.662963073923846,0.0,0.0,0.0,25.492155620507695
40,PA1,PASSED,6.8999999999999915,10.29999999999998,25.800000000000097,32.50000000000019,3.329192546583851,15.499999999999998,6.662963073923846,0.0,0.0,0.0,25.492155620507695
41,PA2,PASSED,6.8999999999999915,9.89999999999998,12.79999999999997,18.9,2.9130434782608696,2.807838451016892,6.017079381605948,0.0,0.0,0.0,11.737961310883708
42,PA1,PASSED,7.19999999999999,10.599999999999978,26.1000000000001,32.800000000000196,3.329192546583851,15.499999999999998,6.662963073923846,0.0,0.0,0.0,25.492155620507695
43,PA1,PASSED,7.39999999999999,10.799999999999978,26.300000000000104,33.0000000000002,3.329192546583851,15.499999999999998,6.662963073923846,0.0,0.0,0.0,25.492155620507695
44,PA2,PASSED,7.39999999999999,10.399999999999979,13.299999999999969,19.400000000000006,2.9130434782608696,2.807838451016892,6.017079381605948,0.0,0.0,0.0,11.737961310883708
45,PA1,PASSED,7.699999999999989,11.099999999999977,26.600000000000108,33.3000000000002,3.329192546583851,15.499999999999998,6.662963073923846,0.0,0.0,0.0,25.492155620507695
46,PA1,PASSED,7.899999999999988,11.299999999999976,26.80000000000011,33.500000000000206,3.329192546583851,15.499999999999998,6.662963073923846,0.0,0.0,0.0,25.492155620507695
47,PA2,PASSED,7.899999999999988,10.899999999999977,13.799999999999967,19.900000000000013,2.9130434782608696,2.807838451016892,6.017079381605948,0.0,0.0,0.0,11.737961310883708
48,PA1,PASSED,8.199999999999987,11.599999999999975,27.100000000000115,33.80000000000021,3.329192546583851,15.499999999999998,6.662963073923846,0.0,0.0,0.0,25.492155620507695
49,PA1,PASSED,8.399999999999986,11.799999999999974,27.300000000000118,34.100000000000215,3.329192546583851,15.499999999999998,6.750018731666712,0.0,0.0,0.0,25.57921127825056
50,PA2,PASSED,8.399999999999986,11.399999999999975,14.299999999999965,20.40000000000002,2.9130434782608696,2.807838451016892,6.017079381605948,0.0,0.0,0.0,11.737961310883708
51,PA1,PASSED,8.699999999999985,12.099999999999973,27.600000000000122,34.40000000000022,3.329192546583851,15.499999999999998,6.750018731666712,0.0,0.0,0.0,25.57921127825056
52,PA1,PASSED,8.899999999999984,12.299999999999972,27.800000000000125,34.60000000000022,3.329192546583851,15.499999999999998,6.750018731666712,0.0,0.0,0.0,25.57921127825056
53,PA2,PASSED,8.899999999999984,11.899999999999974,14.799999999999963,20.900000000000027,2.9130434782608696,2.807838451016892,6.017079381605948,0.0,0.0,0.0,11.737961310883708
54,PA1,PASSED,9.199999999999983,12.599999999999971,28.10000000000013,35.00000000000023,3.329192546583851,15.499999999999998,6.843127353725935,0.0,0.0,0.0,25.67231990030978
55,PA1,PASSED,9.399999999999983,12.79999999999997,28.300000000000132,35.10000000000023,3.329192546583851,15.499999999999998,6.750018731666712,0.0,0.0,0.0,25.57921127825056
56,PA2,PASSED,9.399999999999983,12.399999999999972,15.299999999999962,21.400000000000034,2.9130434782608696,2.807838451016892,6.017079381605948,0.0,0.0,0.0,11.737961310883708
57,PA1,PASSED,9.699999999999982,13.09999999999997,28.600000000000136,35.500000000000234,3.329192546583851,15.499999999999998,6.843127353725935,0.0,0.0,0.0,25.67231990030978
58,PA1,PASSED,9.89999999999998,13.299999999999969,28.80000000000014,35.600000000000236,3.329192546583851,15.499999999999998,6.750018731666712,0.0,0.0,0.0,25.57921127825056
59,PA2,PASSED,9.89999999999998,12.89999999999997,15.79999999999996,21.90000000000004,2.9130434782608696,2.807838451016892,6.017079381605948,0.0,0.0,0.0,11.737961310883708
60,PA1,PASSED,10.19999999999998,13.599999999999968,29.100000000000144,36.00000000000024,3.329192546583851,15.499999999999998,6.843127353725935,0.0,0.0,0.0,25.67231990030978
61,PA1,PASSED,10.399999999999979,13.799999999999967,29.300000000000146,36.300000000000246,3.329192546583851,15.499999999999998,6.9427146721284725,0.0,0.0,0.0,25.77190721871232
62,PA2,PASSED,10.399999999999979,13.399999999999968,16.29999999999996,22.40000000000005,2.9130434782608696,2.807838451016892,6.017079381605948,0.0,0.0,0.0,11.737961310883708
63,PA1,PASSED,10.699999999999978,14.099999999999966,29.60000000000015,36.60000000000025,3.329192546583851,15.499999999999998,6.9427146721284725,0.0,0.0,0.0,25.77190721871232
64,PA1,PASSED,10.899999999999977,14.299999999999965,29.800000000000153,36.80000000000025,3.329192546583851,15.499999999999998,6.9427146721284725,0.0,0.0,0.0,25.77190721871232
65,PA2,PASSED,10.899999999999977,13.899999999999967,16.79999999999997,22.900000000000055,2.9130434782608696,2.807838451016892,6.017079381605948,0.0,0.0,0.0,11.737961310883708
66,PA1,PASSED,11.199999999999976,14.599999999999964,30.100000000000158,37.10000000000026,3.329192546583851,15.499999999999998,6.9427146721284725,0.0,0.0,0.0,25.77190721871232
67,PA1,PASSED,11.399999999999975,14.799999999999963,30.30000000000016,37.30000000000026,3.329192546583851,15.499999999999998,6.9427146721284725,0.0,0.0,0.0,25.77190721871232
68,PA2,PASSED,11.399999999999975,14.399999999999965,17.299999999999976,23.400000000000063,2.9130434782608696,2.807838451016892,6.017079381605948,0.0,0.0,0.0,11.737961310883708
69,PA1,PASSED,11.699999999999974,15.099999999999962,30.600000000000165,37.700000000000266,3.329192546583851,15.499999999999998,7.049246024969603,0.0,0.0,0.0,25.878438571553453
70,PA1,PASSED,11.899999999999974,15.299999999999962,30.800000000000168,37.90000000000027,3.329192546583851,15.499999999999998,7.049246024969603,0.0,0.0,0.0,25.878438571553453
71,PA2,PASSED,11.899999999999974,14.899999999999963,17.799999999999983,23.90000000000007,2.9130434782608696,2.807838451016892,6.017079381605948,0.0,0.0,0.0,11.737961310883708
72,PA1,PASSED,12.199999999999973,15.59999999999996,31.100000000000172,38.300000000000274,3.329192546583851,15.499999999999998,7.163229600122433,0.0,0.0,0.0,25.992422146706282
73,PA1,PASSED,12.399999999999972,15.79999999999996,31.300000000000175,38.400000000000276,3.329192546583851,15.499999999999998,7.049246024969603,0.0,0.0,0.0,25.878438571553453
74,PA2,PASSED,12.399999999999972,15.399999999999961,18.29999999999999,24.400000000000077,2.9130434782608696,2.807838451016892,6.017079381605948,0.0,0.0,0.0,11.737961310883708
75,PA1,PASSED,12.69999999999997,16.09999999999996,31.60000000000018,38.80000000000028,3.329192546583851,15.499999999999998,7.163229600122433,0.0,0.0,0.0,25.992422146706282
76,PA1,PASSED,12.89999999999997,16.29999999999996,31.800000000000182,39.100000000000286,3.329192546583851,15.499999999999998,7.285219834019128,0.0,0.0,0.0,26.114412380602975
77,PA2,PASSED,12.89999999999997,15.89999999999996,18.799999999999997,24.900000000000084,2.9130434782608696,2.807838451016892,6.017079381605948,0.0,0.0,0.0,11.737961310883708
78,PA1,PASSED,13.199999999999969,16.599999999999966,32.100000000000186,39.30000000000029,3.329192546583851,15.499999999999998,7.163229600122433,0.0,0.0,0.0,25.992422146706282
79,PA1,PASSED,13.399999999999968,16.79999999999997,32.30000000000019,39.60000000000029,3.329192546583851,15.499999999999998,7.285219834019128,0.0,0.0,0.0,26.114412380602975
80,PA2,PASSED,13.399999999999968,16.399999999999963,19.300000000000004,25.40000000000009,2.9130434782608696,2.807838451016892,6.024689063525058,0.0,0.0,0.0,11.745570992802818
81,PA1,PASSED,13.699999999999967,17.099999999999973,32.60000000000019,39.800000000000296,3.329192546583851,15.499999999999998,7.163229600122433,0.0,0.0,0.0,25.992422146706282
82,PA1,PASSED,13.899999999999967,17.299999999999976,32.800000000000196,40.1000000000003,3.329192546583851,15.499999999999998,7.285219834019128,0.0,0.0,0.0,26.114412380602975
83,PA2,PASSED,13.899999999999967,16.89999999999997,19.80000000000001,25.900000000000098,2.9130434782608696,2.807838451016892,6.048691823155149,0.0,0.0,0.0,11.769573752432912
84,PA1,PASSED,14.199999999999966,17.59999999999998,33.1000000000002,40.3000000000003,3.329192546583851,15.499999999999998,7.163229600122433,0.0,0.0,0.0,25.992422146706282
85,PA1,PASSED,14.399999999999965,17.799999999999983,33.3000000000002,40.60000000000031,3.329192546583851,15.499999999999998,7.285219834019128,0.0,0.0,0.0,26.114412380602975
86,PA2,PASSED,14.399999999999965,17.399999999999977,20.30000000000002,26.400000000000105,2.9130434782608696,2.807838451016892,6.084300859680093,0.0,0.0,0.0,11.805182788957854
87,PA1,PASSED,14.699999999999964,18.099999999999987,33.60000000000021,40.80000000000031,3.329192546583851,15.499999999999998,7.163229600122433,0.0,0.0,0.0,25.992422146706282
88,PA1,PASSED,14.899999999999963,18.29999999999999,33.80000000000021,41.100000000000314,3.329192546583851,15.499999999999998,7.285219834019128,0.0,0.0,0.0,26.114412380602975
89,PA2,PASSED,14.899999999999963,17.899999999999984,20.800000000000026,27.000000000000114,2.9130434782608696,2.807838451016892,6.131615580312284,0.0,0.0,0.0,11.852497509590044
90,PA1,PASSED,15.199999999999962,18.599999999999994,34.100000000000215,41.40000000000032,3.329192546583851,15.499999999999998,7.285219834019128,0.0,0.0,0.0,26.114412380602975
91,PA1,PASSED,15.399999999999961,18.799999999999997,34.30000000000022,41.60000000000032,3.329192546583851,15.499999999999998,7.285219834019128,0.0,0.0,0.0,26.114412380602975
92,PA2,PASSED,15.399999999999961,18.39999999999999,21.300000000000033,27.50000000000012,2.9130434782608696,2.807838451016892,6.190979162784613,0.0,0.0,0.0,11.911861092062374
93,PA1,PASSED,15.69999999999996,19.1,34.60000000000022,41.900000000000325,3.329192546583851,15.499999999999998,7.285219834019128,0.0,0.0,0.0,26.114412380602975
94,PA1,PASSED,15.89999999999996,19.300000000000004,34.800000000000225,42.10000000000033,3.329192546583851,15.499999999999998,7.285219834019128,0.0,0.0,0.0,26.114412380602975
95,PA2,PASSED,15.89999999999996,18.9,21.80000000000004,28.10000000000013,2.9130434782608696,2.807838451016892,6.262974581639389,0.0,0.0,0.0,11.98385651091715
96,PA1,PASSED,16.19999999999996,19.60000000000001,35.10000000000023,42.40000000000033,3.329192546583851,15.499999999999998,7.285219834019128,0.0,0.0,0.0,26.114412380602975
97,PA1,PASSED,16.399999999999963,19.80000000000001,35.30000000000023,42.600000000000335,3.329192546583851,15.499999999999998,7.285219834019128,0.0,0.0,0.0,26.114412380602975
98,PA2,PASSED,16.399999999999963,19.400000000000006,22.300000000000047,28.700000000000138,2.9130434782608696,2.807838451016892,6.348431428076536,0.0,0.0,0.0,12.069313357354297
99,PA1,PASSED,16.699999999999967,20.100000000000016,35.600000000000236,42.90000000000034,3.329192546583851,15.499999999999998,7.285219834019128,0.0,0.0,0.0,26.114412380602975
100,PA1,PASSED,16.89999999999997,20.30000000000002,35.80000000000024,43.10000000000034,3.329192546583851,15.499999999999998,7.285219834019128,0.0,0.0,0.0,26.114412380602975
101,PA2,PASSED,16.89999999999997,19.900000000000013,22.800000000000054,29.300000000000146,2.9130434782608696,2.807838451016892,6.448442767825407,0.0,0.0,0.0,12.169324697103168
102,PA1,PASSED,17.199999999999974,20.600000000000023,36.10000000000024,43.40000000000035,3.329192546583851,15.499999999999998,7.285219834019128,0.0,0.0,0.0,26.114412380602975
103,PA1,PASSED,17.399999999999977,20.800000000000026,36.300000000000246,43.80000000000035,3.329192546583851,15.499999999999998,7.415820911801994,0.0,0.0,0.0,26.24501345838584
104,PA2,PASSED,17.399999999999977,20.40000000000002,23.30000000000006,29.900000000000155,2.9130434782608696,2.807838451016892,6.564391985626441,0.0,0.0,0.0,12.285273914904202
105,PA1,PASSED,17.69999999999998,21.10000000000003,36.60000000000025,44.20000000000036,3.329192546583851,15.499999999999998,7.55569028686828,0.0,0.0,0.0,26.384882833452128
106,PA1,PASSED,17.899999999999984,21.300000000000033,36.80000000000025,44.30000000000036,3.329192546583851,15.499999999999998,7.415820911801994,0.0,0.0,0.0,26.24501345838584
107,PA2,PASSED,17.899999999999984,20.900000000000027,23.800000000000068,30.500000000000163,2.9130434782608696,2.807838451016892,6.6979901126925405,0.0,0.0,0.0,12.418872041970303
108,PA1,PASSED,18.19999999999999,21.600000000000037,37.10000000000026,44.700000000000365,3.329192546583851,15.499999999999998,7.55569028686828,0.0,0.0,0.0,26.384882833452128
109,PA1,PASSED,18.39999999999999,21.80000000000004,37.30000000000026,44.80000000000037,3.329192546583851,15.499999999999998,7.415820911801994,0.0,0.0,0.0,26.24501345838584
110,PA2,PASSED,18.39999999999999,21.400000000000034,24.300000000000075,31.200000000000173,2.9130434782608696,2.807838451016892,6.851324559657186,0.0,0.0,0.0,12.572206488934949
111,PA1,PASSED,18.699999999999996,22.100000000000044,37.600000000000264,45.20000000000037,3.329192546583851,15.499999999999998,7.55569028686828,0.0,0.0,0.0,26.384882833452128
112,PA1,PASSED,18.9,22.300000000000047,37.80000000000027,45.300000000000374,3.329192546583851,15.499999999999998,7.415820911801994,0.0,0.0,0.0,26.24501345838584
113,PA2,PASSED,18.9,21.90000000000004,24.800000000000082,31.900000000000183,2.9130434782608696,2.807838451016892,7.026920468731522,0.0,0.0,0.0,12.747802398009284
114,PA1,PASSED,19.200000000000003,22.60000000000005,38.10000000000027,45.70000000000038,3.329192546583851,15.499999999999998,7.55569028686828,0.0,0.0,0.0,26.384882833452128
115,PA1,PASSED,19.400000000000006,22.800000000000054,38.300000000000274,46.100000000000385,3.329192546583851,15.499999999999998,7.705542099374616,0.0,0.0,0.0,26.534734645958466
116,PA2,PASSED,19.400000000000006,22.40000000000005,25.30000000000009,32.40000000000019,2.9130434782608696,2.807838451016892,7.026920468731522,0.0,0.0,0.0,12.747802398009284
117,PA1,PASSED,19.70000000000001,23.10000000000006,38.60000000000028,46.20000000000039,3.329192546583851,15.499999999999998,7.55569028686828,0.0,0.0,0.0,26.384882833452128
118,PA1,PASSED,19.900000000000013,23.30000000000006,38.80000000000028,46.60000000000039,3.329192546583851,15.499999999999998,7.705542099374616,0.0,0.0,0.0,26.534734645958466
119,PA2,PASSED,19.900000000000013,22.900000000000055,25.800000000000097,32.9000000000002,2.9130434782608696,2.807838451016892,7.026920468731522,0.0,0.0,0.0,12.747802398009284
