T,D_SA1,D_PW1,D_PW2,D_SA3,D_pass,K_PW2,K_SA3
0.0,0,0,0,0,0,0.0,0.0
0.1,0,0,0,0,0,0.0,0.0
0.2,1,0,0,0,0,0.0,0.0
0.30000000000000004,1,0,0,0,0,0.0,0.0
0.4,3,0,0,0,0,0.0,0.0
0.5,3,0,0,0,0,0.0,0.0
0.6,3,0,0,0,0,0.0,0.0
0.7,4,0,0,0,0,0.0,0.0
0.7999999999999999,4,0,0,0,0,0.0,0.0
0.8999999999999999,6,0,0,0,0,0.0,0.0
0.9999999999999999,6,0,0,0,0,0.0,0.0
1.0999999999999999,6,0,0,0,0,0.0,0.0
1.2,7,0,0,0,0,0.0,0.0
1.3,7,0,0,0,0,0.0,0.0
1.4000000000000001,9,0,0,0,0,0.0,0.0
1.5000000000000002,9,0,0,0,0,0.0,0.0
1.6000000000000003,9,0,0,0,0,0.0,0.0
1.7000000000000004,10,0,0,0,0,0.0,0.0
1.8000000000000005,10,0,0,0,0,0.0,0.0
1.9000000000000006,12,0,0,0,0,0.0,0.0
2.0000000000000004,12,0,0,0,0,0.0,0.0
2.1000000000000005,12,0,0,0,0,0.0,0.0
2.2000000000000006,13,0,0,0,0,0.0,0.0
2.3000000000000007,13,0,0,0,0,0.0,0.0
2.400000000000001,15,0,0,0,0,0.0,0.0
2.500000000000001,15,0,0,0,0,0.0,0.0
2.600000000000001,15,0,0,0,0,0.0,0.0
2.700000000000001,16,0,0,0,0,0.0,0.0
2.800000000000001,16,0,0,0,0,0.0,0.0
2.9000000000000012,18,0,0,0,0,0.0,0.0
3.0000000000000013,18,0,0,0,0,0.0,0.0
3.1000000000000014,18,0,0,0,0,0.0,0.0
3.2000000000000015,18,0,1,0,0,0.0,0.0
3.3000000000000016,18,0,1,0,0,0.09803921568627452,0.0
3.4000000000000017,19,0,2,0,0,0.09803921568627452,0.0
3.5000000000000018,19,0,2,0,0,0.19607843137254904,0.0
3.600000000000002,19,0,2,0,0,0.19607843137254904,0.0
3.700000000000002,19,0,3,0,0,0.19607843137254904,0.0
3.800000000000002,18,1,3,0,0,0.29411764705882354,0.0
3.900000000000002,19,1,4,0,0,0.29411764705882354,0.0
4.000000000000002,19,1,4,0,0,0.3921568627450981,0.0
4.100000000000001,19,1,4,0,0,0.3921568627450981,0.0
4.200000000000001,19,1,5,0,0,0.3921568627450981,0.0
4.300000000000001,18,2,5,0,0,0.4901960784313726,0.0
4.4,19,2,6,0,0,0.4901960784313726,0.0
4.5,19,2,6,0,0,0.5882352941176471,0.0
4.6,19,2,6,0,0,0.5882352941176471,0.0
4.699999999999999,19,2,7,0,0,0.5882352941176471,0.0
4.799999999999999,18,3,7,0,0,0.6862745098039216,0.0
4.899999999999999,19,3,8,0,0,0.6862745098039216,0.0
4.999999999999998,19,3,8,0,0,0.7843137254901962,0.0
5.099999999999998,19,3,8,0,0,0.7843137254901962,0.0
5.1999999999999975,19,3,9,0,0,0.7843137254901962,0.0
5.299999999999997,18,4,9,0,0,0.8823529411764707,0.0
5.399999999999997,19,4,10,0,0,0.8823529411764707,0.0
5.4999999999999964,19,4,10,0,0,0.9803921568627452,0.0
5.599999999999996,19,4,10,0,0,0.9803921568627452,0.0
5.699999999999996,19,4,11,0,0,0.9803921568627452,0.0
